,date,cum_confirmed,cum_deceased,cum_recovered,cum_persons_vaccinated,current_hospitalized_patients,population,location
41,2020-04-11,182990.0,11159.0,,69.0,1.0,19453561,new-york
42,2020-04-12,191425.0,12116.0,,69.0,2.0,19453561,new-york
43,2020-04-13,197973.0,12998.0,,69.0,2.1666666666666665,19453561,new-york
44,2020-04-14,205375.0,14001.0,,69.0,2.3333333333333335,19453561,new-york
45,2020-04-15,217130.0,14937.0,,69.0,2.5,19453561,new-york
46,2020-04-16,225761.0,15669.0,,69.0,2.6666666666666665,19453561,new-york
47,2020-04-17,233293.0,16473.0,,69.0,2.833333333333333,19453561,new-york
48,2020-04-18,240542.0,17141.0,,69.0,3.0,19453561,new-york
49,2020-04-19,246741.0,17793.0,,69.0,3.0,19453561,new-york
50,2020-04-20,251608.0,18412.0,,69.0,3.1666666666666665,19453561,new-york
51,2020-04-21,255932.0,19040.0,,69.0,3.3333333333333335,19453561,new-york
52,2020-04-22,261591.0,19647.0,,69.0,3.5,19453561,new-york
53,2020-04-23,267932.0,20212.0,,69.0,3.6666666666666665,19453561,new-york
54,2020-04-24,276218.0,20759.0,,69.0,3.833333333333333,19453561,new-york
55,2020-04-25,286901.0,21326.0,,69.0,4.0,19453561,new-york
56,2020-04-26,292914.0,21804.0,,69.0,3.0,19453561,new-york
57,2020-04-27,296991.0,22267.0,,69.0,3.0,19453561,new-york
58,2020-04-28,300276.0,22777.0,,69.0,4.0,19453561,new-york
59,2020-04-29,304994.0,23287.0,,69.0,4.0,19453561,new-york
60,2020-04-30,309696.0,23616.0,,69.0,5.0,19453561,new-york
61,2020-05-01,313575.0,23841.0,,69.0,3.0,19453561,new-york
62,2020-05-02,318134.0,24035.0,,69.0,3.0,19453561,new-york
63,2020-05-03,321833.0,24576.0,,69.0,3.0,19453561,new-york
64,2020-05-04,324357.0,24788.0,,69.0,1.0,19453561,new-york
65,2020-05-05,326659.0,25028.0,,69.0,1.0,19453561,new-york
66,2020-05-06,329405.0,25956.0,,69.0,1.0,19453561,new-york
67,2020-05-07,332931.0,26206.0,,69.0,1.0,19453561,new-york
68,2020-05-08,335804.0,26358.0,,69.0,2.0,19453561,new-york
69,2020-05-09,338519.0,26584.0,,69.0,1.0,19453561,new-york
70,2020-05-10,340657.0,26798.0,,69.0,1.0,19453561,new-york
71,2020-05-11,342267.0,27003.0,,69.0,1.0,19453561,new-york
72,2020-05-12,343705.0,27282.0,,69.0,2.0,19453561,new-york
73,2020-05-13,345828.0,27448.0,,69.0,2.0,19453561,new-york
74,2020-05-14,348192.0,27617.0,,69.0,1.5,19453561,new-york
75,2020-05-15,350951.0,27755.0,,69.0,1.0,19453561,new-york
76,2020-05-16,353136.0,27953.0,,69.0,2.0,19453561,new-york
77,2020-05-17,355037.0,28168.0,,69.0,2.0,19453561,new-york
78,2020-05-18,356278.0,28302.0,,69.0,1.0,19453561,new-york
79,2020-05-19,357757.0,28437.0,,69.0,3.0,19453561,new-york
80,2020-05-20,359235.0,28540.0,,69.0,3.0,19453561,new-york
81,2020-05-21,361313.0,28663.0,,69.0,4.0,19453561,new-york
82,2020-05-22,362991.0,28802.0,,69.0,4.0,19453561,new-york
83,2020-05-23,364745.0,28900.0,,69.0,4.0,19453561,new-york
84,2020-05-24,366346.0,29046.0,,69.0,4.0,19453561,new-york
85,2020-05-25,367625.0,29138.0,,69.0,5.0,19453561,new-york
86,2020-05-26,368669.0,29241.0,,69.0,5.0,19453561,new-york
87,2020-05-27,369801.0,29339.0,,69.0,6.0,19453561,new-york
88,2020-05-28,371559.0,29438.0,,69.0,6.0,19453561,new-york
89,2020-05-29,373108.0,29535.0,,69.0,6.0,19453561,new-york
90,2020-05-30,374471.0,29612.0,,69.0,3.0,19453561,new-york
91,2020-05-31,375575.0,29699.0,,69.0,3.0,19453561,new-york
92,2020-06-01,376520.0,29766.0,,69.0,3.0,19453561,new-york
93,2020-06-02,377881.0,29847.0,,69.0,2.0,19453561,new-york
94,2020-06-03,378924.0,29918.0,,69.0,4.0,19453561,new-york
95,2020-06-04,379977.0,30011.0,,69.0,4.0,19453561,new-york
96,2020-06-05,381019.0,30066.0,,69.0,4.0,19453561,new-york
97,2020-06-06,382102.0,30123.0,,69.0,5.0,19453561,new-york
98,2020-06-07,382879.0,30183.0,,69.0,5.0,19453561,new-york
99,2020-06-08,383591.0,30239.0,,69.0,4.0,19453561,new-york
100,2020-06-09,384281.0,30309.0,,69.0,5.0,19453561,new-york
101,2020-06-10,384945.0,30376.0,,69.0,5.0,19453561,new-york
102,2020-06-11,385669.0,30431.0,,69.0,5.0,19453561,new-york
103,2020-06-12,386490.0,30511.0,,69.0,6.0,19453561,new-york
104,2020-06-13,387402.0,30565.0,,69.0,4.0,19453561,new-york
105,2020-06-14,388096.0,30605.0,,69.0,4.0,19453561,new-york
106,2020-06-15,388719.0,30645.0,,69.0,2.0,19453561,new-york
107,2020-06-16,389349.0,30683.0,,69.0,7.0,19453561,new-york
108,2020-06-17,389910.0,30722.0,,69.0,1.0,19453561,new-york
109,2020-06-18,390536.0,30767.0,,69.0,2.0,19453561,new-york
110,2020-06-19,391330.0,30816.0,,69.0,1.0,19453561,new-york
111,2020-06-20,392037.0,30839.0,,69.0,0.0,19453561,new-york
112,2020-06-21,392702.0,30884.0,,69.0,0.0,19453561,new-york
113,2020-06-22,393257.0,30934.0,,69.0,2.0,19453561,new-york
114,2020-06-23,393855.0,30970.0,,69.0,3.0,19453561,new-york
115,2020-06-24,394430.0,31001.0,,69.0,0.0,19453561,new-york
116,2020-06-25,395168.0,31029.0,,69.0,1.0,19453561,new-york
117,2020-06-26,395972.0,31075.0,,69.0,0.0,19453561,new-york
118,2020-06-27,396669.0,31105.0,,69.0,5.0,19453561,new-york
119,2020-06-28,397293.0,31137.0,,69.0,5.0,19453561,new-york
120,2020-06-29,397684.0,31143.0,,69.0,0.0,19453561,new-york
121,2020-06-30,398142.0,31776.0,,69.0,1.0,19453561,new-york
122,2020-07-01,398770.0,31791.0,,69.0,3.0,19453561,new-york
123,2020-07-02,399642.0,31814.0,,69.0,3.0,19453561,new-york
124,2020-07-03,400561.0,31836.0,,69.0,3.0,19453561,new-york
125,2020-07-04,401286.0,31860.0,,69.0,3.0,19453561,new-york
126,2020-07-05,401822.0,31895.0,,69.0,1.0,19453561,new-york
127,2020-07-06,402338.0,31911.0,,69.0,1.0,19453561,new-york
128,2020-07-07,402928.0,31934.0,,69.0,2.0,19453561,new-york
129,2020-07-08,403619.0,31945.0,,69.0,2.0,19453561,new-york
130,2020-07-09,404207.0,31979.0,,69.0,1.0,19453561,new-york
131,2020-07-10,404997.0,32004.0,,69.0,0.0,19453561,new-york
132,2020-07-11,405724.0,32019.0,,69.0,0.0,19453561,new-york
133,2020-07-12,406403.0,32029.0,,69.0,2.0,19453561,new-york
134,2020-07-13,406962.0,32075.0,,69.0,3.0,19453561,new-york
135,2020-07-14,407875.0,32092.0,,69.0,2.0,19453561,new-york
136,2020-07-15,408709.0,32115.0,,69.0,1197.0,19453561,new-york
137,2020-07-16,409476.0,32133.0,,69.0,1222.0,19453561,new-york
138,2020-07-17,410254.0,32147.0,,69.0,1127.0,19453561,new-york
139,2020-07-18,411006.0,32167.0,,69.0,1114.0,19453561,new-york
140,2020-07-19,411515.0,32187.0,,69.0,1119.0,19453561,new-york
141,2020-07-20,412034.0,32203.0,,69.0,1399.0,19453561,new-york
142,2020-07-21,412889.0,32218.0,,69.0,1240.0,19453561,new-york
143,2020-07-22,413595.0,32228.0,,69.0,1332.0,19453561,new-york
144,2020-07-23,414405.0,32270.0,,69.0,1365.0,19453561,new-york
145,2020-07-24,415163.0,32278.0,,69.0,1405.0,19453561,new-york
146,2020-07-25,415911.0,32295.0,,69.0,1485.0,19453561,new-york
147,2020-07-26,416443.0,32305.0,,69.0,1451.0,19453561,new-york
148,2020-07-27,417056.0,32322.0,,69.0,1464.0,19453561,new-york
149,2020-07-28,417591.0,32333.0,,69.0,1759.0,19453561,new-york
150,2020-07-29,418302.0,32342.0,,69.0,1846.0,19453561,new-york
151,2020-07-30,419081.0,32362.0,,69.0,1586.0,19453561,new-york
152,2020-07-31,419723.0,32372.0,,69.0,1779.0,19453561,new-york
153,2020-08-01,420477.0,32390.0,,69.0,1582.0,19453561,new-york
154,2020-08-02,421008.0,32401.0,,69.0,1551.0,19453561,new-york
155,2020-08-03,421550.0,32413.0,,69.0,1374.0,19453561,new-york
156,2020-08-04,422296.0,32422.0,,69.0,1555.0,19453561,new-york
157,2020-08-05,422935.0,32431.0,,69.0,1517.0,19453561,new-york
158,2020-08-06,423629.0,32329.0,,69.0,1478.0,19453561,new-york
159,2020-08-07,424349.0,32336.0,,69.0,1663.0,19453561,new-york
160,2020-08-08,425055.0,32345.0,,69.0,1547.0,19453561,new-york
161,2020-08-09,425568.0,32354.0,,69.0,1468.0,19453561,new-york
162,2020-08-10,426046.0,32361.0,,69.0,1508.0,19453561,new-york
163,2020-08-11,426713.0,32372.0,,69.0,1674.0,19453561,new-york
164,2020-08-12,427419.0,32384.0,,69.0,1673.0,19453561,new-york
165,2020-08-13,428155.0,32399.0,,69.0,1641.0,19453561,new-york
166,2020-08-14,428879.0,32407.0,,69.0,1498.0,19453561,new-york
167,2020-08-15,429617.0,32414.0,,69.0,1496.0,19453561,new-york
168,2020-08-16,430226.0,32424.0,,69.0,1444.0,19453561,new-york
169,2020-08-17,430636.0,32435.0,,69.0,1476.0,19453561,new-york
170,2020-08-18,431298.0,32446.0,,69.0,1593.0,19453561,new-york
171,2020-08-19,431924.0,32451.0,,69.0,1593.0,19453561,new-york
172,2020-08-20,432523.0,32451.0,,69.0,1461.0,19453561,new-york
173,2020-08-21,433230.0,32456.0,,69.0,1395.0,19453561,new-york
174,2020-08-22,433881.0,32464.0,,69.0,1346.0,19453561,new-york
175,2020-08-23,434462.0,32482.0,,69.0,1343.0,19453561,new-york
176,2020-08-24,434866.0,32489.0,,69.0,1424.0,19453561,new-york
177,2020-08-25,435495.0,32495.0,,69.0,1481.0,19453561,new-york
178,2020-08-26,436063.0,32499.0,,69.0,1544.0,19453561,new-york
179,2020-08-27,436852.0,32507.0,,69.0,1472.0,19453561,new-york
180,2020-08-28,437487.0,32515.0,,69.0,1409.0,19453561,new-york
181,2020-08-29,438122.0,32522.0,,69.0,1223.0,19453561,new-york
182,2020-08-30,438831.0,32534.0,,69.0,1237.0,19453561,new-york
183,2020-08-31,439480.0,32541.0,,69.0,1172.0,19453561,new-york
184,2020-09-01,440237.0,32551.0,,69.0,1379.0,19453561,new-york
185,2020-09-02,440947.0,32559.0,,69.0,1368.0,19453561,new-york
186,2020-09-03,441835.0,32567.0,,69.0,1337.0,19453561,new-york
187,2020-09-04,442698.0,32573.0,,69.0,1289.0,19453561,new-york
188,2020-09-05,443497.0,32579.0,,69.0,1281.0,19453561,new-york
189,2020-09-06,444226.0,32585.0,,69.0,1235.0,19453561,new-york
190,2020-09-07,444751.0,32600.0,,69.0,1228.0,19453561,new-york
191,2020-09-08,445308.0,32612.0,,69.0,1292.0,19453561,new-york
192,2020-09-09,445881.0,32611.0,,69.0,1446.0,19453561,new-york
193,2020-09-10,446637.0,32618.0,,69.0,1316.0,19453561,new-york
194,2020-09-11,447498.0,32619.0,,69.0,1273.0,19453561,new-york
195,2020-09-12,448347.0,32625.0,,69.0,1294.0,19453561,new-york
196,2020-09-13,449072.0,32629.0,,69.0,1210.0,19453561,new-york
197,2020-09-14,449658.0,32639.0,,69.0,1257.0,19453561,new-york
198,2020-09-15,450425.0,32655.0,,69.0,1284.0,19453561,new-york
199,2020-09-16,451078.0,32662.0,,69.0,1228.0,19453561,new-york
200,2020-09-17,451971.0,32669.0,,69.0,1211.0,19453561,new-york
201,2020-09-18,452764.0,32682.0,,69.0,1236.0,19453561,new-york
202,2020-09-19,453747.0,32679.0,,69.0,1201.0,19453561,new-york
203,2020-09-20,454612.0,32686.0,,69.0,1150.0,19453561,new-york
204,2020-09-21,455187.0,32691.0,,69.0,1297.0,19453561,new-york
205,2020-09-22,455938.0,32690.0,,69.0,1313.0,19453561,new-york
206,2020-09-23,456604.0,32691.0,,69.0,1196.0,19453561,new-york
207,2020-09-24,457557.0,32696.0,,69.0,1183.0,19453561,new-york
208,2020-09-25,458466.0,32708.0,,69.0,1197.0,19453561,new-york
209,2020-09-26,459472.0,32713.0,,69.0,1182.0,19453561,new-york
210,2020-09-27,460340.0,32722.0,,69.0,1218.0,19453561,new-york
211,2020-09-28,461176.0,32737.0,,69.0,1278.0,19453561,new-york
212,2020-09-29,462364.0,32743.0,,69.0,1300.0,19453561,new-york
213,2020-09-30,463369.0,32757.0,,69.0,1378.0,19453561,new-york
214,2020-10-01,464752.0,32768.0,,69.0,1361.0,19453561,new-york
215,2020-10-02,466353.0,32789.0,,69.0,1373.0,19453561,new-york
216,2020-10-03,468081.0,32794.0,,69.0,1270.0,19453561,new-york
217,2020-10-04,469307.0,32813.0,,69.0,1343.0,19453561,new-york
218,2020-10-05,470244.0,32827.0,,69.0,1421.0,19453561,new-york
219,2020-10-06,471638.0,32836.0,,69.0,1501.0,19453561,new-york
220,2020-10-07,472994.0,32850.0,,69.0,1433.0,19453561,new-york
221,2020-10-08,474829.0,32859.0,,69.0,1475.0,19453561,new-york
222,2020-10-09,476422.0,32867.0,,69.0,1529.0,19453561,new-york
223,2020-10-10,477870.0,32875.0,,69.0,1567.0,19453561,new-york
224,2020-10-11,479013.0,32879.0,,69.0,1512.0,19453561,new-york
225,2020-10-12,480045.0,32896.0,,69.0,1685.0,19453561,new-york
226,2020-10-13,481436.0,32905.0,,69.0,1869.0,19453561,new-york
227,2020-10-14,482671.0,32916.0,,69.0,1745.0,19453561,new-york
228,2020-10-15,484135.0,32935.0,,69.0,1774.0,19453561,new-york
229,2020-10-16,485838.0,32944.0,,69.0,1779.0,19453561,new-york
230,2020-10-17,487626.0,32959.0,,69.0,1684.0,19453561,new-york
231,2020-10-18,489016.0,32972.0,,69.0,1666.0,19453561,new-york
232,2020-10-19,490015.0,32990.0,,69.0,1656.0,19453561,new-york
233,2020-10-20,491216.0,32998.0,,69.0,1870.0,19453561,new-york
234,2020-10-21,493245.0,33005.0,,69.0,1902.0,19453561,new-york
235,2020-10-22,494874.0,33022.0,,69.0,1785.0,19453561,new-york
236,2020-10-23,496510.0,33038.0,,69.0,1831.0,19453561,new-york
237,2020-10-24,498568.0,33049.0,,69.0,1792.0,19453561,new-york
238,2020-10-25,500201.0,33059.0,,69.0,1758.0,19453561,new-york
239,2020-10-26,501393.0,33073.0,,69.0,1805.0,19453561,new-york
240,2020-10-27,503387.0,33092.0,,69.0,1948.0,19453561,new-york
241,2020-10-28,505416.0,33107.0,,69.0,1924.0,19453561,new-york
242,2020-10-29,507913.0,33128.0,,69.0,1851.0,19453561,new-york
243,2020-10-30,510171.0,33143.0,,69.0,1861.0,19453561,new-york
244,2020-10-31,512223.0,33152.0,,69.0,1867.0,19453561,new-york
245,2020-11-01,514482.0,33174.0,,69.0,1831.0,19453561,new-york
246,2020-11-02,516114.0,33187.0,,69.0,1948.0,19453561,new-york
247,2020-11-03,518431.0,33198.0,,69.0,2066.0,19453561,new-york
248,2020-11-04,520557.0,33222.0,,69.0,2121.0,19453561,new-york
249,2020-11-05,523559.0,33247.0,,69.0,2156.0,19453561,new-york
250,2020-11-06,526767.0,33267.0,,69.0,2191.0,19453561,new-york
251,2020-11-07,530354.0,33287.0,,69.0,2254.0,19453561,new-york
252,2020-11-08,533784.0,33314.0,,69.0,2244.0,19453561,new-york
253,2020-11-09,536933.0,33343.0,,69.0,2349.0,19453561,new-york
254,2020-11-10,540897.0,33373.0,,69.0,2535.0,19453561,new-york
255,2020-11-11,545718.0,33398.0,,69.0,2596.0,19453561,new-york
256,2020-11-12,550516.0,33424.0,,69.0,2797.0,19453561,new-york
257,2020-11-13,555917.0,33452.0,,69.0,2692.0,19453561,new-york
258,2020-11-14,561308.0,33477.0,,69.0,2693.0,19453561,new-york
259,2020-11-15,564952.0,33508.0,,69.0,2713.0,19453561,new-york
260,2020-11-16,568450.0,33540.0,,69.0,2922.0,19453561,new-york
261,2020-11-17,573544.0,33576.0,,69.0,3104.0,19453561,new-york
262,2020-11-18,578826.0,33607.0,,69.0,3233.0,19453561,new-york
263,2020-11-19,584128.0,33648.0,,69.0,3318.0,19453561,new-york
264,2020-11-20,589605.0,33696.0,,69.0,3339.0,19453561,new-york
265,2020-11-21,595581.0,33737.0,,69.0,3476.0,19453561,new-york
266,2020-11-22,600967.0,33767.0,,69.0,3522.0,19453561,new-york
