,date,cum_confirmed,cum_deceased,cum_persons_vaccinated,current_hospitalized_patients,population,location,cum_recovered
0,2020-03-18,38.0,14.0,0.0,359.0,2148271,paris,40.0
1,2020-03-19,38.0,22.0,0.0,453.0,2148271,paris,62.0
2,2020-03-20,38.0,30.0,0.0,575.0,2148271,paris,98.0
3,2020-03-21,38.0,36.0,0.0,649.0,2148271,paris,122.0
4,2020-03-22,38.0,40.0,0.0,728.0,2148271,paris,145.0
5,2020-03-23,38.0,59.0,0.0,925.0,2148271,paris,198.0
6,2020-03-24,38.0,80.0,0.0,1076.0,2148271,paris,232.0
7,2020-03-25,38.0,112.0,0.0,1289.0,2148271,paris,291.0
8,2020-03-26,38.0,139.0,0.0,1493.0,2148271,paris,353.0
9,2020-03-27,38.0,180.0,0.0,1656.0,2148271,paris,433.0
10,2020-03-28,38.0,211.0,0.0,1927.0,2148271,paris,499.0
11,2020-03-29,38.0,237.0,0.0,2115.0,2148271,paris,515.0
12,2020-03-30,38.0,306.0,0.0,2217.0,2148271,paris,607.0
13,2020-03-31,38.0,362.0,0.0,2434.0,2148271,paris,730.0
14,2020-04-01,38.0,404.0,0.0,2633.0,2148271,paris,863.0
15,2020-04-02,38.0,455.0,0.0,2838.0,2148271,paris,954.0
16,2020-04-03,38.0,512.0,0.0,2897.0,2148271,paris,1092.0
17,2020-04-04,38.0,548.0,0.0,2999.0,2148271,paris,1212.0
18,2020-04-05,38.0,593.0,0.0,3075.0,2148271,paris,1309.0
19,2020-04-06,38.0,646.0,0.0,3119.0,2148271,paris,1383.0
20,2020-04-07,38.0,683.0,0.0,3169.0,2148271,paris,1507.0
21,2020-04-08,38.0,732.0,0.0,3154.0,2148271,paris,1654.0
22,2020-04-09,38.0,770.0,0.0,3155.0,2148271,paris,1824.0
23,2020-04-10,38.0,839.0,0.0,3181.0,2148271,paris,2005.0
24,2020-04-11,38.0,867.0,0.0,3219.0,2148271,paris,2131.0
25,2020-04-12,38.0,912.0,0.0,3249.0,2148271,paris,2226.0
26,2020-04-13,38.0,959.0,0.0,3266.0,2148271,paris,2287.0
27,2020-04-14,38.0,1003.0,0.0,3281.0,2148271,paris,2336.0
28,2020-04-15,38.0,1054.0,0.0,3209.0,2148271,paris,2480.0
29,2020-04-16,38.0,1090.0,0.0,3103.0,2148271,paris,2640.0
30,2020-04-17,38.0,1132.0,0.0,3083.0,2148271,paris,2792.0
31,2020-04-18,38.0,1160.0,0.0,3013.0,2148271,paris,2927.0
32,2020-04-19,38.0,1193.0,0.0,2939.0,2148271,paris,3018.0
33,2020-04-20,38.0,1239.0,0.0,2933.0,2148271,paris,3069.0
34,2020-04-21,38.0,1273.0,0.0,2856.0,2148271,paris,3208.0
35,2020-04-22,38.0,1288.0,0.0,2784.0,2148271,paris,3334.0
36,2020-04-23,38.0,1310.0,0.0,2705.0,2148271,paris,3436.0
37,2020-04-24,38.0,1327.0,0.0,2624.0,2148271,paris,3537.0
38,2020-04-25,38.0,1345.0,0.0,2568.0,2148271,paris,3626.0
39,2020-04-26,38.0,1366.0,0.0,2554.0,2148271,paris,3667.0
40,2020-04-27,38.0,1387.0,0.0,2506.0,2148271,paris,3735.0
41,2020-04-28,38.0,1404.0,0.0,2448.0,2148271,paris,3785.0
42,2020-04-29,38.0,1446.0,0.0,2348.0,2148271,paris,3972.0
43,2020-04-30,38.0,1466.0,0.0,2292.0,2148271,paris,4071.0
44,2020-05-01,38.0,1471.0,0.0,2234.0,2148271,paris,4146.0
45,2020-05-02,38.0,1485.0,0.0,2189.0,2148271,paris,4206.0
46,2020-05-03,38.0,1493.0,0.0,2177.0,2148271,paris,4229.0
47,2020-05-04,38.0,1517.0,0.0,2155.0,2148271,paris,4259.0
48,2020-05-05,38.0,1542.0,0.0,2104.0,2148271,paris,4341.0
49,2020-05-06,38.0,1553.0,0.0,1971.0,2148271,paris,4467.0
50,2020-05-07,38.0,1560.0,0.0,1863.0,2148271,paris,4593.0
51,2020-05-08,38.0,1562.0,0.0,1819.0,2148271,paris,4659.0
52,2020-05-09,38.0,1575.0,0.0,1799.0,2148271,paris,4683.0
53,2020-05-10,38.0,1579.0,0.0,1803.0,2148271,paris,4694.0
54,2020-05-11,38.0,1595.0,0.0,1780.0,2148271,paris,4737.0
55,2020-05-12,38.0,1599.0,0.0,1743.0,2148271,paris,4807.0
56,2020-05-13,38.0,1603.0,0.0,1701.0,2148271,paris,4859.0
57,2020-05-14,94.0,1607.0,0.0,1618.0,2148271,paris,4933.0
58,2020-05-15,141.0,1612.0,0.0,1561.0,2148271,paris,4996.0
59,2020-05-16,157.0,1613.0,0.0,1548.0,2148271,paris,5016.0
60,2020-05-17,162.0,1614.0,0.0,1536.0,2148271,paris,5029.0
61,2020-05-18,196.0,1626.0,0.0,1506.0,2148271,paris,5060.0
62,2020-05-19,243.0,1638.0,0.0,1411.0,2148271,paris,5152.0
63,2020-05-20,285.0,1641.0,0.0,1355.0,2148271,paris,5215.0
64,2020-05-21,294.0,1649.0,0.0,1307.0,2148271,paris,5258.0
65,2020-05-22,328.0,1660.0,0.0,1284.0,2148271,paris,5277.0
66,2020-05-23,335.0,1663.0,0.0,1227.0,2148271,paris,5326.0
67,2020-05-24,341.0,1666.0,0.0,1221.0,2148271,paris,5332.0
68,2020-05-25,364.0,1672.0,0.0,1187.0,2148271,paris,5362.0
69,2020-05-26,406.0,1676.0,0.0,1152.0,2148271,paris,5405.0
70,2020-05-27,447.0,1680.0,0.0,1034.0,2148271,paris,5510.0
71,2020-05-28,484.0,1689.0,0.0,981.0,2148271,paris,5558.0
72,2020-05-29,510.0,1692.0,0.0,949.0,2148271,paris,5587.0
73,2020-05-30,521.0,1692.0,0.0,934.0,2148271,paris,5612.0
74,2020-05-31,526.0,1694.0,0.0,926.0,2148271,paris,5622.0
75,2020-06-01,537.0,1695.0,0.0,919.0,2148271,paris,5635.0
76,2020-06-02,581.0,1695.0,0.0,908.0,2148271,paris,5651.0
77,2020-06-03,621.0,1697.0,0.0,880.0,2148271,paris,5679.0
78,2020-06-04,655.0,1699.0,0.0,865.0,2148271,paris,5693.0
79,2020-06-05,681.0,1701.0,0.0,831.0,2148271,paris,5734.0
80,2020-06-06,694.0,1704.0,0.0,808.0,2148271,paris,5753.0
81,2020-06-07,696.0,1704.0,0.0,810.0,2148271,paris,5756.0
82,2020-06-08,732.0,1704.0,0.0,795.0,2148271,paris,5775.0
83,2020-06-09,763.0,1710.0,0.0,771.0,2148271,paris,5793.0
84,2020-06-10,794.0,1711.0,0.0,775.0,2148271,paris,5803.0
85,2020-06-11,809.0,1715.0,0.0,748.0,2148271,paris,5833.0
86,2020-06-12,845.0,1722.0,0.0,734.0,2148271,paris,5839.0
87,2020-06-13,854.0,1729.0,0.0,708.0,2148271,paris,5850.0
88,2020-06-14,858.0,1729.0,0.0,709.0,2148271,paris,5850.0
89,2020-06-15,876.0,1731.0,0.0,696.0,2148271,paris,5864.0
90,2020-06-16,902.0,1731.0,0.0,670.0,2148271,paris,5891.0
91,2020-06-17,938.0,1736.0,0.0,625.0,2148271,paris,5929.0
92,2020-06-18,971.0,1738.0,0.0,621.0,2148271,paris,5939.0
93,2020-06-19,993.0,1738.0,0.0,616.0,2148271,paris,5947.0
94,2020-06-20,998.0,1739.0,0.0,613.0,2148271,paris,5952.0
95,2020-06-21,999.0,1739.0,0.0,612.0,2148271,paris,5954.0
96,2020-06-22,1026.0,1740.0,0.0,601.0,2148271,paris,5965.0
97,2020-06-23,1046.0,1741.0,0.0,605.0,2148271,paris,5967.0
98,2020-06-24,1076.0,1741.0,0.0,594.0,2148271,paris,5980.0
99,2020-06-25,1100.0,1742.0,0.0,592.0,2148271,paris,5985.0
100,2020-06-26,1121.0,1744.0,0.0,581.0,2148271,paris,5998.0
101,2020-06-27,1124.0,1745.0,0.0,579.0,2148271,paris,5999.0
102,2020-06-28,1131.0,1745.0,0.0,581.0,2148271,paris,5999.0
103,2020-06-29,1150.0,1746.0,0.0,574.0,2148271,paris,6008.0
104,2020-06-30,1177.0,1750.0,0.0,573.0,2148271,paris,6018.0
105,2020-07-01,1198.0,1750.0,0.0,556.0,2148271,paris,6041.0
106,2020-07-02,1229.0,1752.0,0.0,512.0,2148271,paris,6091.0
