,date,cum_confirmed,cum_deceased,cum_recovered,cum_persons_vaccinated,current_hospitalized_patients,population,location
89,2020-04-20,8014.0,11.0,801.0,2.0,1364.0,5638676,singapore
90,2020-04-21,9125.0,11.0,839.0,2.0,1381.0,5638676,singapore
91,2020-04-22,10141.0,12.0,896.0,2.0,1571.0,5638676,singapore
92,2020-04-23,11178.0,12.0,924.0,2.0,1342.0,5638676,singapore
93,2020-04-24,12075.0,12.0,956.0,2.0,1205.0,5638676,singapore
94,2020-04-25,12693.0,12.0,1002.0,2.0,1190.0,5638676,singapore
95,2020-04-26,13624.0,12.0,1060.0,2.0,1289.0,5638676,singapore
96,2020-04-27,14423.0,14.0,1095.0,2.0,1431.0,5638676,singapore
97,2020-04-28,14951.0,14.0,1128.0,2.0,1668.0,5638676,singapore
98,2020-04-29,15641.0,14.0,1188.0,2.0,1692.0,5638676,singapore
99,2020-04-30,16169.0,15.0,1244.0,2.0,1687.0,5638676,singapore
100,2020-05-01,17101.0,16.0,1268.0,2.0,1741.0,5638676,singapore
101,2020-05-02,17548.0,17.0,1347.0,2.0,1686.0,5638676,singapore
102,2020-05-03,18205.0,18.0,1408.0,2.0,1608.0,5638676,singapore
103,2020-05-04,18778.0,18.0,1457.0,2.0,1466.0,5638676,singapore
104,2020-05-05,19410.0,18.0,1519.0,2.0,1560.0,5638676,singapore
105,2020-05-06,20198.0,20.0,1634.0,2.0,1439.0,5638676,singapore
106,2020-05-07,20939.0,20.0,1712.0,2.0,1357.0,5638676,singapore
107,2020-05-08,21707.0,20.0,2040.0,2.0,1223.0,5638676,singapore
108,2020-05-09,22460.0,20.0,2296.0,2.0,1101.0,5638676,singapore
109,2020-05-10,23336.0,20.0,2721.0,2.0,1075.0,5638676,singapore
110,2020-05-11,23822.0,21.0,3225.0,2.0,1069.0,5638676,singapore
111,2020-05-12,24671.0,21.0,3851.0,2.0,1112.0,5638676,singapore
112,2020-05-13,25346.0,21.0,4809.0,2.0,1018.0,5638676,singapore
113,2020-05-14,26098.0,21.0,5973.0,2.0,1052.0,5638676,singapore
114,2020-05-15,26891.0,21.0,7248.0,2.0,1106.0,5638676,singapore
115,2020-05-16,27356.0,22.0,8342.0,2.0,1095.0,5638676,singapore
116,2020-05-17,28038.0,22.0,9340.0,2.0,1194.0,5638676,singapore
117,2020-05-18,28343.0,22.0,9835.0,2.0,1024.0,5638676,singapore
118,2020-05-19,28794.0,22.0,10365.0,2.0,994.0,5638676,singapore
119,2020-05-20,29364.0,22.0,11207.0,2.0,943.0,5638676,singapore
120,2020-05-21,29812.0,23.0,12117.0,2.0,891.0,5638676,singapore
121,2020-05-22,30426.0,23.0,12995.0,2.0,790.0,5638676,singapore
122,2020-05-23,31068.0,23.0,13882.0,2.0,703.0,5638676,singapore
123,2020-05-24,31616.0,23.0,14876.0,2.0,682.0,5638676,singapore
124,2020-05-25,31960.0,23.0,15738.0,2.0,599.0,5638676,singapore
125,2020-05-26,32343.0,23.0,16444.0,2.0,577.0,5638676,singapore
126,2020-05-27,32876.0,23.0,17276.0,2.0,518.0,5638676,singapore
127,2020-05-28,33249.0,23.0,18294.0,2.0,503.0,5638676,singapore
128,2020-05-29,33860.0,23.0,19631.0,2.0,453.0,5638676,singapore
129,2020-05-30,34366.0,23.0,20727.0,2.0,367.0,5638676,singapore
130,2020-05-31,34884.0,23.0,21699.0,2.0,313.0,5638676,singapore
131,2020-06-01,35292.0,24.0,22466.0,2.0,337.0,5638676,singapore
132,2020-06-02,35836.0,24.0,23175.0,2.0,325.0,5638676,singapore
133,2020-06-03,36405.0,24.0,23582.0,2.0,329.0,5638676,singapore
134,2020-06-04,36922.0,24.0,23904.0,2.0,298.0,5638676,singapore
135,2020-06-05,37183.0,24.0,24209.0,2.0,303.0,5638676,singapore
136,2020-06-06,37527.0,25.0,24559.0,2.0,304.0,5638676,singapore
137,2020-06-07,37910.0,25.0,24886.0,2.0,292.0,5638676,singapore
138,2020-06-08,38296.0,25.0,25368.0,2.0,265.0,5638676,singapore
139,2020-06-09,38514.0,25.0,25877.0,2.0,245.0,5638676,singapore
140,2020-06-10,38965.0,25.0,26532.0,2.0,220.0,5638676,singapore
141,2020-06-11,39387.0,25.0,27286.0,2.0,225.0,5638676,singapore
142,2020-06-12,39850.0,25.0,28040.0,2.0,237.0,5638676,singapore
143,2020-06-13,40197.0,26.0,28808.0,2.0,227.0,5638676,singapore
