,date,cum_confirmed,cum_deceased,cum_recovered,cum_persons_vaccinated,current_hospitalized_patients,population,location
51,2020-05-08,4810,171.0,2136.0,,2503.0,13942856,tokyo
52,2020-05-09,4846,180.0,2152.0,,2514.0,13942856,tokyo
53,2020-05-10,4868,180.0,2170.0,,2518.0,13942856,tokyo
54,2020-05-11,4883,189.0,2185.0,,2509.0,13942856,tokyo
55,2020-05-12,4987,196.0,2901.0,,1890.0,13942856,tokyo
56,2020-05-13,4997,203.0,3039.0,,1755.0,13942856,tokyo
57,2020-05-14,5027,212.0,3232.0,,1583.0,13942856,tokyo
58,2020-05-15,5036,219.0,3386.0,,1431.0,13942856,tokyo
59,2020-05-16,5050,230.0,3474.0,,1346.0,13942856,tokyo
60,2020-05-17,5055,237.0,3512.0,,1306.0,13942856,tokyo
61,2020-05-18,5065,241.0,3632.0,,1192.0,13942856,tokyo
62,2020-05-19,5070,244.0,3848.0,,978.0,13942856,tokyo
63,2020-05-20,5075,247.0,3941.0,,887.0,13942856,tokyo
64,2020-05-21,5133,256.0,4073.0,,804.0,13942856,tokyo
65,2020-05-22,5136,263.0,4189.0,,670.0,13942856,tokyo
66,2020-05-23,5138,271.0,4229.0,,628.0,13942856,tokyo
67,2020-05-24,5152,280.0,4239.0,,633.0,13942856,tokyo
68,2020-05-25,5160,288.0,4311.0,,561.0,13942856,tokyo
69,2020-05-26,5170,292.0,4379.0,,499.0,13942856,tokyo
70,2020-05-27,5180,296.0,4413.0,,471.0,13942856,tokyo
71,2020-05-28,5195,299.0,4443.0,,453.0,13942856,tokyo
72,2020-05-29,5217,302.0,4501.0,,414.0,13942856,tokyo
73,2020-05-30,5231,304.0,4508.0,,419.0,13942856,tokyo
74,2020-05-31,5236,305.0,4510.0,,421.0,13942856,tokyo
75,2020-06-01,5249,305.0,4539.0,,405.0,13942856,tokyo
76,2020-06-02,5283,306.0,4586.0,,391.0,13942856,tokyo
77,2020-06-03,5295,306.0,4623.0,,366.0,13942856,tokyo
78,2020-06-04,5323,307.0,4648.0,,368.0,13942856,tokyo
79,2020-06-05,5343,309.0,4687.0,,347.0,13942856,tokyo
80,2020-06-06,5369,311.0,4695.0,,363.0,13942856,tokyo
81,2020-06-07,5383,311.0,4696.0,,376.0,13942856,tokyo
82,2020-06-08,5396,311.0,4716.0,,369.0,13942856,tokyo
83,2020-06-09,5408,311.0,4758.0,,339.0,13942856,tokyo
84,2020-06-10,5426,311.0,4785.0,,330.0,13942856,tokyo
85,2020-06-11,5448,311.0,4824.0,,313.0,13942856,tokyo
86,2020-06-12,5473,313.0,4856.0,,304.0,13942856,tokyo
87,2020-06-13,5497,314.0,4862.0,,321.0,13942856,tokyo
88,2020-06-14,5544,314.0,4866.0,,364.0,13942856,tokyo
89,2020-06-15,5592,314.0,4887.0,,391.0,13942856,tokyo
90,2020-06-16,5619,316.0,4936.0,,367.0,13942856,tokyo
91,2020-06-17,5633,317.0,4978.0,,338.0,13942856,tokyo
92,2020-06-18,5674,317.0,5017.0,,340.0,13942856,tokyo
93,2020-06-19,5709,320.0,5071.0,,318.0,13942856,tokyo
